 v-sweep         v(g_11_0)       v(g_13_1)       i(v_s_13_2)     i(v_s_16_0)     v(g_11_3)       i(v_s_16_3)     v(g_14_3)       v(g_15_4)       v(g_14_1)       i(v_s_15_4)     v(g_17_2)       i(v_s_13_0)     i(v_s_18_1)     i(v_s_11_0)     i(v_s_17_1)     i(v_s_10_1)     v(g_19_3)       v(g_13_2)       i(v_s_12_2)     v(g_17_1)       i(v_s_19_2)     v(g_18_1)       v(g_18_0)       v(g_10_0)       v(g_12_2)       i(v_s_19_3)     v(g_16_3)       v(g_17_4)       i(v_s_13_1)     i(v_s_18_3)     i(v_s_14_3)     i(v_s_10_2)     v(g_11_1)       v(g_12_4)       i(v_s_15_0)     i(v_s_11_1)     v(g_11_2)       i(v_s_18_4)     i(v_s_17_0)     v(g_16_4)       i(v_s_16_2)     v(g_15_1)       v(g_19_1)       v(g_17_3)       i(v_s_10_0)     v(g_14_0)       v(g_18_3)       v(g_15_0)       v(g_13_0)       v(g_13_4)       i(v_s_13_3)     i(v_s_17_3)     i(v_s_19_4)     v(g_16_0)       i(v_s_18_2)     v(g_10_2)       i(v_s_11_2)     i(v_s_10_3)     i(v_s_19_0)     v(g_16_1)       i(v_s_19_1)     i(v_s_14_0)     v(g_12_0)       i(v_s_14_2)     i(v_s_11_4)     v(g_18_2)       v(g_19_0)       v(g_12_1)       v(g_12_3)       i(v_s_10_4)     i(v_s_12_0)     i(v_s_17_2)     i(v_s_12_1)     i(v_s_14_4)     i(v_s_15_1)     v(g_13_3)       v(g_10_1)       i(v_s_11_3)     i(v_s_17_4)     v(g_10_3)       v(g_14_2)       v(g_16_2)       i(v_s_12_4)     v(g_15_2)       v(g_19_4)       i(v_s_14_1)     i(v_s_15_2)     v(g_18_4)       i(v_s_13_4)     i(v_s_16_1)     v(g_19_2)       i(v_s_12_3)     v(g_14_4)       i(v_s_15_3)     v(g_10_4)       v(g_17_0)       v(g_11_4)       i(v_s_16_4)     i(v_s_18_0)     v(g_15_3)      
 5.00000000e-01  5.00000000e-01  5.00000000e-01  1.45318606e-13 -9.30494231e-13  5.00000000e-01 -1.58179717e-13  5.00000000e-01  5.00000000e-01  5.00000000e-01  8.84484960e-15  5.00000000e-01 -4.55493275e-13 -7.13702045e-13  3.40006694e-12  1.65948614e-12 -6.01173381e-13  5.00000000e-01  5.00000000e-01 -4.79931172e-13  5.00000000e-01  7.75591970e-13  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  1.17169834e-12  5.00000000e-01  5.00000000e-01 -1.60811097e-13 -2.05669280e-13 -2.49858634e-13 -3.36987982e-13  5.00000000e-01  5.00000000e-01 -9.94247264e-13  4.01538093e-12  5.00000000e-01  5.08486988e-14  1.22488799e-12  5.00000000e-01 -4.17625700e-13  5.00000000e-01  5.00000000e-01  5.00000000e-01 -8.62438424e-13  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  4.69239330e-13  2.69138091e-12  1.62715832e-12  5.00000000e-01 -4.60235109e-13  5.00000000e-01  4.71951657e-12 -6.83066981e-14  7.63225481e-14  5.00000000e-01  4.14650051e-13 -9.99917244e-13  5.00000000e-01 -4.99883451e-13  6.65765550e-12  5.00000000e-01  5.00000000e-01  5.00000000e-01  5.00000000e-01  2.08051739e-13 -9.83077512e-13  2.13910954e-12 -7.31685224e-13  2.76334071e-16 -7.43768763e-13  5.00000000e-01  5.00000000e-01  5.56731757e-12  3.36633891e-12  5.00000000e-01  5.00000000e-01  5.00000000e-01  2.57262190e-14  5.00000000e-01  5.00000000e-01 -7.49902291e-13 -4.93165748e-13  5.00000000e-01  8.23239008e-13 -6.74798360e-13  5.00000000e-01 -2.27621146e-13  5.00000000e-01 -2.42371476e-13  5.00000000e-01  5.00000000e-01  5.00000000e-01  1.05198086e-13 -9.66453994e-13  5.00000000e-01 
 6.00000000e-01  6.00000000e-01  6.00000000e-01  1.45318611e-13 -9.30494229e-13  6.00000000e-01 -1.58179681e-13  6.00000000e-01  6.00000000e-01  6.00000000e-01  8.84484960e-15  6.00000000e-01 -4.55493272e-13 -7.13702044e-13  3.40006740e-12  1.65948621e-12 -6.01173365e-13  6.00000000e-01  6.00000000e-01 -4.79931172e-13  6.00000000e-01  7.75592032e-13  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  1.17169836e-12  6.00000000e-01  6.00000000e-01 -1.60811093e-13 -2.05669279e-13 -2.49858634e-13 -3.36987937e-13  6.00000000e-01  6.00000000e-01 -9.94247353e-13  4.01538147e-12  6.00000000e-01  5.08486826e-14  1.22488805e-12  6.00000000e-01 -4.17625667e-13  6.00000000e-01  6.00000000e-01  6.00000000e-01 -8.62438409e-13  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  4.69239336e-13  2.69138096e-12  1.62715841e-12  6.00000000e-01 -4.60235122e-13  6.00000000e-01  4.71951720e-12 -6.83066459e-14  7.63225756e-14  6.00000000e-01  4.14650061e-13 -9.99917244e-13  6.00000000e-01 -4.99883451e-13  6.65765655e-12  6.00000000e-01  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.08051772e-13 -9.83077512e-13  2.13910957e-12 -7.31685224e-13  2.76401550e-16 -7.43768763e-13  6.00000000e-01  6.00000000e-01  5.56731837e-12  3.36633904e-12  6.00000000e-01  6.00000000e-01  6.00000000e-01  2.57262193e-14  6.00000000e-01  6.00000000e-01 -7.49902291e-13 -4.93165748e-13  6.00000000e-01  8.23239016e-13 -6.74798358e-13  6.00000000e-01 -2.27621146e-13  6.00000000e-01 -2.42371594e-13  6.00000000e-01  6.00000000e-01  6.00000000e-01  1.05198096e-13 -9.66453993e-13  6.00000000e-01 
 7.00000000e-01  7.00000000e-01  7.00000000e-01  1.45318616e-13 -9.30494227e-13  7.00000000e-01 -1.58179710e-13  7.00000000e-01  7.00000000e-01  7.00000000e-01  8.84484960e-15  7.00000000e-01 -4.55493268e-13 -7.13702043e-13  3.40006786e-12  1.65948628e-12 -6.01173348e-13  7.00000000e-01  7.00000000e-01 -4.79931172e-13  7.00000000e-01  7.75592070e-13  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  1.17169840e-12  7.00000000e-01  7.00000000e-01 -1.60811089e-13 -2.05669277e-13 -2.49858634e-13 -3.36987918e-13  7.00000000e-01  7.00000000e-01 -9.94247264e-13  4.01538200e-12  7.00000000e-01  5.08487027e-14  1.22488811e-12  7.00000000e-01 -4.17625694e-13  7.00000000e-01  7.00000000e-01  7.00000000e-01 -8.62438395e-13  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  4.69239342e-13  2.69138111e-12  1.62715844e-12  7.00000000e-01 -4.60235121e-13  7.00000000e-01  4.71951784e-12 -6.83066212e-14  7.63226027e-14  7.00000000e-01  4.14650114e-13 -9.99917244e-13  7.00000000e-01 -4.99883451e-13  6.65765759e-12  7.00000000e-01  7.00000000e-01  7.00000000e-01  7.00000000e-01  2.08051805e-13 -9.83077512e-13  2.13910970e-12 -7.31685223e-13  2.76334071e-16 -7.43768763e-13  7.00000000e-01  7.00000000e-01  5.56731916e-12  3.36633917e-12  7.00000000e-01  7.00000000e-01  7.00000000e-01  2.57261950e-14  7.00000000e-01  7.00000000e-01 -7.49902291e-13 -4.93165748e-13  7.00000000e-01  8.23239024e-13 -6.74798356e-13  7.00000000e-01 -2.27621146e-13  7.00000000e-01 -2.42371476e-13  7.00000000e-01  7.00000000e-01  7.00000000e-01  1.05198100e-13 -9.66453992e-13  7.00000000e-01 
 8.00000000e-01  8.00000000e-01  8.00000000e-01  1.45318621e-13 -9.30494225e-13  8.00000000e-01 -1.58179707e-13  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.84484960e-15  8.00000000e-01 -4.55493265e-13 -7.13702042e-13  3.40006830e-12  1.65948634e-12 -6.01173332e-13  8.00000000e-01  8.00000000e-01 -4.79931172e-13  8.00000000e-01  7.75592084e-13  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  1.17169845e-12  8.00000000e-01  8.00000000e-01 -1.60811085e-13 -2.05669276e-13 -2.49858634e-13 -3.36987922e-13  8.00000000e-01  8.00000000e-01 -9.94247264e-13  4.01538252e-12  8.00000000e-01  5.08487046e-14  1.22488817e-12  8.00000000e-01 -4.17625692e-13  8.00000000e-01  8.00000000e-01  8.00000000e-01 -8.62438381e-13  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  4.69239348e-13  2.69138121e-12  1.62715850e-12  8.00000000e-01 -4.60235106e-13  8.00000000e-01  4.71951848e-12 -6.83065969e-14  7.63226294e-14  8.00000000e-01  4.14650146e-13 -9.99917244e-13  8.00000000e-01 -4.99883451e-13  6.65765861e-12  8.00000000e-01  8.00000000e-01  8.00000000e-01  8.00000000e-01  2.08051836e-13 -9.83077512e-13  2.13910978e-12 -7.31685223e-13  2.76334071e-16 -7.43768763e-13  8.00000000e-01  8.00000000e-01  5.56731992e-12  3.36633931e-12  8.00000000e-01  8.00000000e-01  8.00000000e-01  2.57262198e-14  8.00000000e-01  8.00000000e-01 -7.49902291e-13 -4.93165748e-13  8.00000000e-01  8.23239032e-13 -6.74798354e-13  8.00000000e-01 -2.27621145e-13  8.00000000e-01 -2.42371476e-13  8.00000000e-01  8.00000000e-01  8.00000000e-01  1.05198098e-13 -9.66453991e-13  8.00000000e-01 
 9.00000000e-01  9.00000000e-01  9.00000000e-01  1.45318626e-13 -9.30494223e-13  9.00000000e-01 -1.58179704e-13  9.00000000e-01  9.00000000e-01  9.00000000e-01  8.84484960e-15  9.00000000e-01 -4.55493261e-13 -7.13702041e-13  3.40006874e-12  1.65948641e-12 -6.01173316e-13  9.00000000e-01  9.00000000e-01 -4.79931172e-13  9.00000000e-01  7.75592121e-13  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.17169852e-12  9.00000000e-01  9.00000000e-01 -1.60811081e-13 -2.05669290e-13 -2.49858634e-13 -3.36987879e-13  9.00000000e-01  9.00000000e-01 -9.94247264e-13  4.01538304e-12  9.00000000e-01  5.08487065e-14  1.22488822e-12  9.00000000e-01 -4.17625660e-13  9.00000000e-01  9.00000000e-01  9.00000000e-01 -8.62438367e-13  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  4.69239354e-13  2.69138131e-12  1.62715856e-12  9.00000000e-01 -4.60235105e-13  9.00000000e-01  4.71951910e-12 -6.83065729e-14  7.63226557e-14  9.00000000e-01  4.14650176e-13 -9.99917244e-13  9.00000000e-01 -4.99883451e-13  6.65765962e-12  9.00000000e-01  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.08051868e-13 -9.83077512e-13  2.13910981e-12 -7.31685223e-13  2.76334071e-16 -7.43768763e-13  9.00000000e-01  9.00000000e-01  5.56732069e-12  3.36633944e-12  9.00000000e-01  9.00000000e-01  9.00000000e-01  2.57262200e-14  9.00000000e-01  9.00000000e-01 -7.49902291e-13 -4.93165748e-13  9.00000000e-01  8.23239040e-13 -6.74798352e-13  9.00000000e-01 -2.27621145e-13  9.00000000e-01 -2.42371594e-13  9.00000000e-01  9.00000000e-01  9.00000000e-01  1.05198108e-13 -9.66453990e-13  9.00000000e-01 
 1.00000000e+00  1.00000000e+00  1.00000000e+00  1.45318631e-13 -9.30494222e-13  1.00000000e+00 -1.58179701e-13  1.00000000e+00  1.00000000e+00  1.00000000e+00  8.84484960e-15  1.00000000e+00 -4.55493258e-13 -7.13702053e-13  3.40006918e-12  1.65948648e-12 -6.01173300e-13  1.00000000e+00  1.00000000e+00 -4.79931171e-13  1.00000000e+00  7.75592181e-13  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.17169857e-12  1.00000000e+00  1.00000000e+00 -1.60811077e-13 -2.05669289e-13 -2.49858634e-13 -3.36987884e-13  1.00000000e+00  1.00000000e+00 -9.94247264e-13  4.01538354e-12  1.00000000e+00  5.08486901e-14  1.22488828e-12  1.00000000e+00 -4.17625687e-13  1.00000000e+00  1.00000000e+00  1.00000000e+00 -8.62438354e-13  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  4.69239360e-13  2.69138141e-12  1.62715865e-12  1.00000000e+00 -4.60235103e-13  1.00000000e+00  4.71951971e-12 -6.83065763e-14  7.63226816e-14  1.00000000e+00  4.14650207e-13 -9.99917244e-13  1.00000000e+00 -4.99883451e-13  6.65766061e-12  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.08051899e-13 -9.83077512e-13  2.13910994e-12 -7.31685223e-13  2.76334071e-16 -7.43768763e-13  1.00000000e+00  1.00000000e+00  5.56732147e-12  3.36633958e-12  1.00000000e+00  1.00000000e+00  1.00000000e+00  2.57261957e-14  1.00000000e+00  1.00000000e+00 -7.49902291e-13 -4.93165748e-13  1.00000000e+00  8.23239048e-13 -6.74798350e-13  1.00000000e+00 -2.27621145e-13  1.00000000e+00 -2.42371594e-13  1.00000000e+00  1.00000000e+00  1.00000000e+00  1.05198106e-13 -9.66453990e-13  1.00000000e+00 
 1.10000000e+00  1.10000000e+00  1.10000000e+00  1.45318635e-13 -9.30494220e-13  1.10000000e+00 -1.58179698e-13  1.10000000e+00  1.10000000e+00  1.10000000e+00  8.84484960e-15  1.10000000e+00 -4.55493255e-13 -7.13702039e-13  3.40006960e-12  1.65948654e-12 -6.01173284e-13  1.10000000e+00  1.10000000e+00 -4.79931171e-13  1.10000000e+00  7.75592217e-13  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.17169861e-12  1.10000000e+00  1.10000000e+00 -1.60811073e-13 -2.05669272e-13 -2.49858634e-13 -3.36987841e-13  1.10000000e+00  1.10000000e+00 -9.94247264e-13  4.01538404e-12  1.10000000e+00  5.08487101e-14  1.22488833e-12  1.10000000e+00 -4.17625655e-13  1.10000000e+00  1.10000000e+00  1.10000000e+00 -8.62438341e-13  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  4.69239366e-13  2.69138151e-12  1.62715868e-12  1.10000000e+00 -4.60235117e-13  1.10000000e+00  4.71952031e-12 -6.83065530e-14  7.63227072e-14  1.10000000e+00  4.14650237e-13 -9.99917244e-13  1.10000000e+00 -4.99883451e-13  6.65766159e-12  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.08051929e-13 -9.83077511e-13  2.13911002e-12 -7.31685223e-13  2.76334071e-16 -7.43768763e-13  1.10000000e+00  1.10000000e+00  5.56732221e-12  3.36633969e-12  1.10000000e+00  1.10000000e+00  1.10000000e+00  2.57262205e-14  1.10000000e+00  1.10000000e+00 -7.49902291e-13 -4.93165748e-13  1.10000000e+00  8.23239055e-13 -6.74798348e-13  1.10000000e+00 -2.27621145e-13  1.10000000e+00 -2.42371594e-13  1.10000000e+00  1.10000000e+00  1.10000000e+00  1.05198110e-13 -9.66453989e-13  1.10000000e+00 
 1.20000000e+00  1.20000000e+00  1.20000000e+00  1.45318640e-13 -9.30494218e-13  1.20000000e+00 -1.58179695e-13  1.20000000e+00  1.20000000e+00  1.20000000e+00  8.84484960e-15  1.20000000e+00 -4.55493251e-13 -7.13702038e-13  3.40007003e-12  1.65948660e-12 -6.01173269e-13  1.20000000e+00  1.20000000e+00 -4.79931171e-13  1.20000000e+00  7.75592252e-13  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.17169863e-12  1.20000000e+00  1.20000000e+00 -1.60811070e-13 -2.05669270e-13 -2.49858634e-13 -3.36987847e-13  1.20000000e+00  1.20000000e+00 -9.94247264e-13  4.01538454e-12  1.20000000e+00  5.08486938e-14  1.22488839e-12  1.20000000e+00 -4.17625682e-13  1.20000000e+00  1.20000000e+00  1.20000000e+00 -8.62438327e-13  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  4.69239371e-13  2.69138160e-12  1.62715877e-12  1.20000000e+00 -4.60235101e-13  1.20000000e+00  4.71952090e-12 -6.83065028e-14  7.63227324e-14  1.20000000e+00  4.14650245e-13 -9.99917244e-13  1.20000000e+00 -4.99883451e-13  6.65766255e-12  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.08051960e-13 -9.83077511e-13  2.13911010e-12 -7.31685223e-13  2.76334071e-16 -7.43768763e-13  1.20000000e+00  1.20000000e+00  5.56732295e-12  3.36633982e-12  1.20000000e+00  1.20000000e+00  1.20000000e+00  2.57262207e-14  1.20000000e+00  1.20000000e+00 -7.49902291e-13 -4.93165748e-13  1.20000000e+00  8.23239063e-13 -6.74798346e-13  1.20000000e+00 -2.27621145e-13  1.20000000e+00 -2.42371594e-13  1.20000000e+00  1.20000000e+00  1.20000000e+00  1.05198114e-13 -9.66453988e-13  1.20000000e+00 
 1.30000000e+00  1.30000000e+00  1.30000000e+00  1.45318644e-13 -9.30494216e-13  1.30000000e+00 -1.58179692e-13  1.30000000e+00  1.30000000e+00  1.30000000e+00  8.84484960e-15  1.30000000e+00 -4.55493248e-13 -7.13702037e-13  3.40007044e-12  1.65948667e-12 -6.01173253e-13  1.30000000e+00  1.30000000e+00 -4.79931171e-13  1.30000000e+00  7.75592287e-13  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.17169867e-12  1.30000000e+00  1.30000000e+00 -1.60811066e-13 -2.05669269e-13 -2.49858634e-13 -3.36987804e-13  1.30000000e+00  1.30000000e+00 -9.94247264e-13  4.01538503e-12  1.30000000e+00  5.08487137e-14  1.22488844e-12  1.30000000e+00 -4.17625650e-13  1.30000000e+00  1.30000000e+00  1.30000000e+00 -8.62438314e-13  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  4.69239377e-13  2.69138170e-12  1.62715879e-12  1.30000000e+00 -4.60235114e-13  1.30000000e+00  4.71952147e-12 -6.83064801e-14  7.63227573e-14  1.30000000e+00  4.14650295e-13 -9.99917244e-13  1.30000000e+00 -4.99883451e-13  6.65766350e-12  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.30000000e+00  2.08051989e-13 -9.83077511e-13  2.13911012e-12 -7.31685223e-13  2.76401550e-16 -7.43768763e-13  1.30000000e+00  1.30000000e+00  5.56732366e-12  3.36633994e-12  1.30000000e+00  1.30000000e+00  1.30000000e+00  2.57262210e-14  1.30000000e+00  1.30000000e+00 -7.49902291e-13 -4.93165748e-13  1.30000000e+00  8.23239070e-13 -6.74798344e-13  1.30000000e+00 -2.27621144e-13  1.30000000e+00 -2.42371476e-13  1.30000000e+00  1.30000000e+00  1.30000000e+00  1.05198118e-13 -9.66453987e-13  1.30000000e+00 
 1.40000000e+00  1.40000000e+00  1.40000000e+00  1.45318649e-13 -9.30494215e-13  1.40000000e+00 -1.58179656e-13  1.40000000e+00  1.40000000e+00  1.40000000e+00  8.84484960e-15  1.40000000e+00 -4.55493245e-13 -7.13702036e-13  3.40007086e-12  1.65948673e-12 -6.01173238e-13  1.40000000e+00  1.40000000e+00 -4.79931171e-13  1.40000000e+00  7.75592322e-13  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.17169874e-12  1.40000000e+00  1.40000000e+00 -1.60811062e-13 -2.05669267e-13 -2.49858634e-13 -3.36987786e-13  1.40000000e+00  1.40000000e+00 -9.94247264e-13  4.01538551e-12  1.40000000e+00  5.08487155e-14  1.22488850e-12  1.40000000e+00 -4.17625677e-13  1.40000000e+00  1.40000000e+00  1.40000000e+00 -8.62438301e-13  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  4.69239383e-13  2.69138174e-12  1.62715885e-12  1.40000000e+00 -4.60235099e-13  1.40000000e+00  4.71952205e-12 -6.83064847e-14  7.63227820e-14  1.40000000e+00  4.14650324e-13 -9.99917244e-13  1.40000000e+00 -4.99883451e-13  6.65766445e-12  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.40000000e+00  2.08052019e-13 -9.83077511e-13  2.13911025e-12 -7.31685223e-13  2.76334071e-16 -7.43768763e-13  1.40000000e+00  1.40000000e+00  5.56732440e-12  3.36634006e-12  1.40000000e+00  1.40000000e+00  1.40000000e+00  2.57262212e-14  1.40000000e+00  1.40000000e+00 -7.49902291e-13 -4.93165748e-13  1.40000000e+00  8.23239077e-13 -6.74798342e-13  1.40000000e+00 -2.27621144e-13  1.40000000e+00 -2.42371476e-13  1.40000000e+00  1.40000000e+00  1.40000000e+00  1.05198122e-13 -9.66453986e-13  1.40000000e+00 
 1.50000000e+00  1.50000000e+00  1.50000000e+00  1.45318653e-13 -9.30494213e-13  1.50000000e+00 -1.58179653e-13  1.50000000e+00  1.50000000e+00  1.50000000e+00  8.84484960e-15  1.50000000e+00 -4.55493242e-13 -7.13702049e-13  3.40007126e-12  1.65948679e-12 -6.01173223e-13  1.50000000e+00  1.50000000e+00 -4.79931171e-13  1.50000000e+00  7.75592356e-13  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.17169876e-12  1.50000000e+00  1.50000000e+00 -1.60811058e-13 -2.05669266e-13 -2.49858634e-13 -3.36987792e-13  1.50000000e+00  1.50000000e+00 -9.94247264e-13  4.01538599e-12  1.50000000e+00  5.08486990e-14  1.22488855e-12  1.50000000e+00 -4.17625675e-13  1.50000000e+00  1.50000000e+00  1.50000000e+00 -8.62438289e-13  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  4.69239388e-13  2.69138183e-12  1.62715894e-12  1.50000000e+00 -4.60235098e-13  1.50000000e+00  4.71952264e-12 -6.83064354e-14  7.63228063e-14  1.50000000e+00  4.14650353e-13 -9.99917244e-13  1.50000000e+00 -4.99883451e-13  6.65766538e-12  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.50000000e+00  2.08052048e-13 -9.83077511e-13  2.13911032e-12 -7.31685222e-13  2.76334071e-16 -7.43768763e-13  1.50000000e+00  1.50000000e+00  5.56732511e-12  3.36634018e-12  1.50000000e+00  1.50000000e+00  1.50000000e+00  2.57262214e-14  1.50000000e+00  1.50000000e+00 -7.49902291e-13 -4.93165748e-13  1.50000000e+00  8.23239084e-13 -6.74798340e-13  1.50000000e+00 -2.27621144e-13  1.50000000e+00 -2.42371476e-13  1.50000000e+00  1.50000000e+00  1.50000000e+00  1.05198125e-13 -9.66453986e-13  1.50000000e+00 
 1.60000000e+00  1.60000000e+00  1.60000000e+00  1.45318658e-13 -9.30494212e-13  1.60000000e+00 -1.58179683e-13  1.60000000e+00  1.60000000e+00  1.60000000e+00  8.84484960e-15  1.60000000e+00 -4.55493239e-13 -7.13702035e-13  3.40007167e-12  1.65948685e-12 -6.01173209e-13  1.60000000e+00  1.60000000e+00 -4.79931171e-13  1.60000000e+00  7.75592390e-13  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.17169883e-12  1.60000000e+00  1.60000000e+00 -1.60811055e-13 -2.05669265e-13 -2.49858634e-13 -3.36987750e-13  1.60000000e+00  1.60000000e+00 -9.94247264e-13  4.01538646e-12  1.60000000e+00  5.08487190e-14  1.22488860e-12  1.60000000e+00 -4.17625643e-13  1.60000000e+00  1.60000000e+00  1.60000000e+00 -8.62438276e-13  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  4.69239393e-13  2.69138197e-12  1.62715896e-12  1.60000000e+00 -4.60235097e-13  1.60000000e+00  4.71952321e-12 -6.83064134e-14  7.63228304e-14  1.60000000e+00  4.14650381e-13 -9.99917244e-13  1.60000000e+00 -4.99883451e-13  6.65766630e-12  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.60000000e+00  2.08052077e-13 -9.83077511e-13  2.13911034e-12 -7.31685222e-13  2.76334071e-16 -7.43768763e-13  1.60000000e+00  1.60000000e+00  5.56732582e-12  3.36634030e-12  1.60000000e+00  1.60000000e+00  1.60000000e+00  2.57262216e-14  1.60000000e+00  1.60000000e+00 -7.49902291e-13 -4.93165748e-13  1.60000000e+00  8.23239091e-13 -6.74798338e-13  1.60000000e+00 -2.27621144e-13  1.60000000e+00 -2.42371476e-13  1.60000000e+00  1.60000000e+00  1.60000000e+00  1.05198135e-13 -9.66453985e-13  1.60000000e+00 
